Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Dorian Finney-Smith,PF,LAL,0,0,0,0,0,106.1
Alexandre Sarr,C,WAS,0,0,0,0,0,108.0
Nikola Vucevic,C,CHI,0,0,0,0,0,158.9
Keegan Murray,PF,SAC,0,0,0,0,0,119.1
Myles Turner,C,IND,0,0,0,0,0,42.8
John Collins,PF,UTA,0,0,0,0,0,143.3
Austin Reaves,SG,LAL,0,0,0,0,0,97.2
Jamal Murray,PG,DEN,0,0,0,0,0,89.3
Scoot Henderson,PG,POR,0,0,0,0,0,86.4
Scotty Pippen Jr.,PG,MEM,0,0,0,0,0,75.9
Klay Thompson,SG,DAL,0,0,0,0,0,93.5
Bam Adebayo,C,MIA,0,0,0,0,0,135.4
Bobby Portis,PF,MIL,0,0,0,0,0,53.2
Devin Booker,PG,PHO,0,0,0,0,0,178.4
Zion Williamson,PF,NOP,0,0,0,0,0,140.7
Josh Giddey,SG,CHI,0,0,0,0,0,121.0
RJ Barrett,SF,TOR,0,0,0,0,0,209.1
Jordan Clarkson,SG,UTA,0,0,0,0,0,65.1
Kris Dunn,PG,LAC,0,0,0,0,0,29.7
Nikola Jovic,PF,MIA,0,0,0,0,0,12.8
Christian Braun,SG,DEN,0,0,0,0,0,123.2
Javonte Green,SF,NOP,0,0,0,0,0,31.7
David Roddy,PF,ATL,0,0,0,0,0,50.2
Keyonte George,PG,UTA,0,0,0,0,0,114.0
Andre Drummond,C,PHL,0,0,0,0,0,38.0
Kevin Huerter,SG,SAC,0,0,0,0,0,35.5
Norman Powell,SG,LAC,0,0,0,0,0,127.8
Toumani Camara,PF,POR,0,0,0,0,0,100.7
Jabari Smith Jr.,PF,HOU,0,0,0,0,0,96.2
Paolo Banchero,PF,ORL,0,0,0,0,0,139.5
Giannis Antetokounmpo,PF,MIL,0,0,0,0,0,194.4
Jordan Hawkins,SG,NOP,0,0,0,0,0,102.1
D'Angelo Russell,PG,BKN,0,0,0,0,0,86.9
Desmond Bane,SG,MEM,0,0,0,0,0,73.6
Donovan Clingan,C,POR,0,0,0,0,0,12.7
Victor Wembanyama,C,SAS,0,0,0,0,0,197.6
Miles Bridges,SF,CHA,0,0,0,0,0,68.6
Nic Claxton,C,BKN,0,0,0,0,0,92.4
Jerami Grant,PF,POR,0,0,0,0,0,102.2
Fred VanVleet,PG,HOU,0,0,0,0,0,74.7
Dyson Daniels,SG,ATL,0,0,0,0,0,62.6
Jalen Duren,C,DET,0,0,0,0,0,113.2
Daniel Theis,C,NOP,0,0,0,0,0,21.0
Mikal Bridges,SF,NYK,0,0,0,0,0,134.7
Ty Jerome,PG,CLE,0,0,0,0,0,36.6
Chris Paul,PG,SAS,0,0,0,0,0,170.9
Cody Martin,SG,CHA,0,0,0,0,0,39.4
Jarrett Allen,C,CLE,0,0,0,0,0,146.5
Moses Moody,SG,GSW,0,0,0,0,0,49.2
Payton Pritchard,PG,BOS,0,0,0,0,0,96.8
Karl-Anthony Towns,C,NYK,0,0,0,0,0,167.8
Jalen Williams,PF,OKC,0,0,0,0,0,134.3
Donte DiVincenzo,SG,MIN,0,0,0,0,0,70.4
Al Horford,C,BOS,0,0,0,0,0,63.5
Dereck Lively II,C,DAL,0,0,0,0,0,109.4
Ziaire Williams,SF,BKN,0,0,0,0,0,26.5
Herbert Jones,SF,NOP,0,0,0,0,0,13.1
Bradley Beal,SF,PHO,0,0,0,0,0,73.0
Anthony Edwards,SG,MIN,0,0,0,0,0,149.0
Mike Conley,PG,MIN,0,0,0,0,0,63.9
Jeremy Sochan,PF,SAS,0,0,0,0,0,155.1
Lauri Markkanen,PF,UTA,0,0,0,0,0,44.4
Stephon Castle,PG,SAS,0,0,0,0,0,13.2
Nikola Jokic,C,DEN,0,0,0,0,0,299.6
Harrison Barnes,PF,SAS,0,0,0,0,0,79.4
Santi Aldama,PF,MEM,0,0,0,0,0,126.1
Chet Holmgren,C,OKC,0,0,0,0,0,107.0
Buddy Hield,SG,GSW,0,0,0,0,0,141.5
Malik Monk,SG,SAC,0,0,0,0,0,109.2
Tobias Harris,PF,DET,0,0,0,0,0,147.4
Jalen Johnson,PF,ATL,0,0,0,0,0,223.6
Miles McBride,PG,NYK,0,0,0,0,0,29.6
Tyrese Maxey,PG,PHL,0,0,0,0,0,104.5
Cam Thomas,SG,BKN,0,0,0,0,0,126.4
Kentavious Caldwell-Pope,SG,ORL,0,0,0,0,0,53.0
Brandon Ingram,SF,NOP,0,0,0,0,0,189.4
OG Anunoby,SF,NYK,0,0,0,0,0,101.8
Trayce Jackson-Davis,PF,GSW,0,0,0,0,0,32.0
Franz Wagner,SF,ORL,0,0,0,0,0,109.6
Tyler Herro,SG,MIA,0,0,0,0,0,129.5
